Projections	Frames	Exposure(ms)
264	262.9956	93.325000
265	264.0088	93.679000
266	264.9956	94.034000
267	266.0088	94.390000
268	266.9951	94.744000
269	268.0093	95.099000
270	268.9951	95.454000
271	270.0088	95.809000
272	270.9951	96.163000
273	272.0083	96.518000
274	272.9946	96.873000
275	274.0083	97.228000
276	274.9946	97.583000
277	276.0083	97.938000
278	276.9946	98.292000
279	278.0083	98.647000
280	279.0225	99.002000
281	280.0078	99.357000
282	281.0225	99.712000
283	282.0083	100.067000
284	283.0215	100.422000
285	284.0083	100.776000
286	285.0215	101.132000
287	286.0078	101.486000
288	287.0215	101.841000
289	288.0073	102.196000
290	289.0215	102.551000
291	290.0073	102.905000
292	291.0215	103.261000
293	292.0073	103.615000
294	293.0210	103.970000
295	294.0073	104.325000
296	295.0215	104.680000
297	296.0068	105.035000
298	297.0210	105.389000
299	298.0068	105.744000
300	299.0205	106.099000
301	300.0073	106.454000
302	301.0205	106.809000
303	302.0063	107.164000
304	303.0205	107.518000
305	304.0063	107.873000
306	305.0205	108.228000
307	306.0063	108.583000
308	307.0200	108.938000
309	308.0063	109.293000
310	309.0200	109.647000
311	310.0063	110.002000
312	311.0200	110.357000
313	312.0054	110.712000
314	313.0200	111.067000
315	314.0054	111.422000
316	315.0195	111.777000
317	316.0063	112.131000
318	317.0195	112.486000
319	318.0054	112.841000
320	319.0195	113.196000
321	320.0054	113.551000
322	321.0190	113.906000
323	322.0054	114.261000
324	323.0190	114.615000
325	324.0054	114.970000
326	325.0186	115.325000
327	326.0054	115.680000
328	327.0190	116.035000
329	328.0044	116.390000
330	329.0186	116.745000
331	330.0049	117.099000
332	331.0186	117.454000
333	332.0044	117.809000
334	333.0186	118.164000
335	334.0044	118.519000
336	335.0186	118.874000
337	336.0039	119.228000
338	337.0186	119.583000
339	338.0039	119.938000
340	339.0176	120.293000
341	340.0044	120.648000
342	341.0176	121.003000
343	342.0034	121.357000
344	343.0176	121.712000
345	344.0034	122.067000
346	345.0176	122.422000
347	346.0034	122.777000
348	347.0176	123.132000
349	348.0034	123.487000
350	349.0171	123.841000
351	350.0034	124.196000
352	351.0176	124.551000
353	352.0024	124.906000
354	353.0176	125.261000
355	354.0034	125.616000
356	355.0166	125.970000
357	356.0029	126.325000
358	357.0166	126.680000
359	358.0029	127.035000
360	359.0166	127.390000
361	360.0024	127.745000
